id,type,created_at,actor.login,repo.name,payload.issue.number,payload.action,payload.comment.body
34499303795,IssueCommentEvent,2024-01-01T09:00:00Z,dependabot[bot],stitcombe/react-ts-vite,78.0,created,Superseded by #81.
34499303836,IssueCommentEvent,2024-01-01T09:00:01Z,StoneCypher,StoneCypher/fsl,1235.0,created,this appears to have self-resolved along the way.  possibly when i re-registered the module?  dunno.
34499304657,IssueCommentEvent,2024-01-01T09:00:05Z,codecov[bot],davidmoten/word-wrap,77.0,created,"## [Codecov](https://app.codecov.io/gh/davidmoten/word-wrap/pull/77?src=pr&el=h1&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=Dave+Moten) Report
All modified and coverable lines are covered by tests :white_check_mark:
> Comparison is base [(`9416273`)](https://app.codecov.io/gh/davidmoten/word-wrap/commit/941627368eb723cca330996a6c4902d535ce16f8?el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=Dave+Moten) 97.58% compared to head [(`8baff1e`)](https://app.codecov.io/gh/davidmoten/word-wrap/pull/77?src=pr&el=desc&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=Dave+Moten) 97.58%.
> Report is 26 commits behind head on master.


<details><summary>Additional details and impacted files</summary>


```diff
@@            Coverage Diff            @@
##             master      #77   +/-   ##
=========================================
  Coverage     97.58%   97.58%           
  Complexity      119      119           
=========================================
  Files             6        6           
  Lines           331      331           
  Branches         49       49           
=========================================
  Hits            323      323           
  Misses            4        4           
  Partials          4        4           
```



</details>

[:umbrella: View full report in Codecov by Sentry](https://app.codecov.io/gh/davidmoten/word-wrap/pull/77?src=pr&el=continue&utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=Dave+Moten).   
:loudspeaker: Have feedback on the report? [Share it here](https://about.codecov.io/codecov-pr-comment-feedback/?utm_medium=referral&utm_source=github&utm_content=comment&utm_campaign=pr+comments&utm_term=Dave+Moten).
"
34499304791,IssueCommentEvent,2024-01-01T09:00:05Z,Esword618,jinzhongmin/goncnn-examples,1.0,created,解决了，是这个https://github.com/jinzhongmin/goffi 里面没说安装pkg-config，我以为仅仅安装两个就好了。建议加一下。
34499304855,IssueCommentEvent,2024-01-01T09:00:06Z,dependabot[bot],jacobdockter/portfolio-iac,47.0,created,Superseded by #48.
34499305068,IssueCommentEvent,2024-01-01T09:00:07Z,dependabot[bot],HanchaiN/HanchaiN.github.io,22.0,created,Superseded by #26.
34499305165,IssueCommentEvent,2024-01-01T09:00:07Z,codesee-maps[bot],marcusgchan/reci-one,177.0,created,"<details open>
<summary><b>👇 <a href=""https://app.codesee.io/r/reviews?pr=177&src=https%3A%2F%2Fgithub.com%2Fmarcusgchan%2Freci-one"">Click on the image</a> for a new way to code review</b>
</summary>

####

[![Review these changes using an interactive CodeSee Map](https://s3.us-east-2.amazonaws.com/maps.codesee.io/images/github/marcusgchan/reci-one/177/02c06bcb/b438c7123d9e8d0ffc7bd2bb9bbf0b4721f742c5.svg)](https://app.codesee.io/r/reviews?pr=177&src=https%3A%2F%2Fgithub.com%2Fmarcusgchan%2Freci-one)

#### Legend
<img src=""https://app.codesee.io/Legend_v3.png"" alt=""CodeSee Map legend"" width=""220"" height=""156"">
</details>"
34499305188,IssueCommentEvent,2024-01-01T09:00:07Z,dlib-issue-bot,davisking/dlib,2893.0,created,"Warning: this issue has been inactive for 35 days and will be automatically closed on 2024-01-10 if there is no further activity.

If you are waiting for a response but haven't received one it's possible your question is somehow inappropriate.  E.g. it is off topic, you didn't follow the issue submission instructions, or your question is easily answerable by reading the [FAQ](http://dlib.net/faq.html),  dlib's [official compilation instructions](http://http://dlib.net/compile.html),  dlib's [API documentation](http://dlib.net/faq.html#Whereisthedocumentationforobjectfunction),  or a Google search.
"
34499305308,IssueCommentEvent,2024-01-01T09:00:08Z,vercel[bot],UMHelper/next-web,33.0,created,"[vc]: #VoBKMAUHzezRBYJ3+ELqH2qRUxievi9WgOgB9nPoQL8=:eyJpc01vbm9yZXBvIjp0cnVlLCJ0eXBlIjoiZ2l0aHViIiwicHJvamVjdHMiOlt7Im5hbWUiOiJuZXh0LXdlYiIsImluc3BlY3RvclVybCI6Imh0dHBzOi8vdmVyY2VsLmNvbS91bWhlbHBlci9uZXh0LXdlYi9KNERYaExHVHhkbmhQMXdEWFBLQzNXQzlzNkQ1IiwicHJldmlld1VybCI6Im5leHQtd2ViLWdpdC1yZXBseS11bWhlbHBlci52ZXJjZWwuYXBwIiwibmV4dENvbW1pdFN0YXR1cyI6IlBFTkRJTkcifV19
**The latest updates on your projects**. Learn more about [Vercel for Git ↗︎](https://vercel.link/github-learn-more)

| Name | Status | Preview | Updated (UTC) |
| :--- | :----- | :------ | :------ |
| **next-web** | 🔄 Building ([Inspect](https://vercel.com/umhelper/next-web/J4DXhLGTxdnhP1wDXPKC3WC9s6D5)) | [Visit Preview](https://next-web-git-reply-umhelper.vercel.app) | Jan 1, 2024 9:00am |

"
34499305356,IssueCommentEvent,2024-01-01T09:00:08Z,dependabot[bot],snapp-incubator/consul-gslb-driver,55.0,created,The following labels could not be found: `dependencies`.
